time,distance_robot0_robot1,distance_robot0_robot2,distance_robot0_robot3,distance_robot0_robot4,distance_robot0_robot5,distance_robot0_robot6
0.0,0.694213982588093,1.2509303719488478,1.559884659490918,1.559884659490918,1.2509303719488478,0.6942139825880932
0.005,0.6942139724384022,1.2509303536601264,1.5598846366849608,1.5598846366849246,1.2509303536600365,0.694213972438437
0.01,0.6942139318968018,1.250930280608241,1.5598845455895731,1.5598845455893933,1.250930280607792,0.6942139318969743
0.015,0.6942138408352168,1.2509301165244244,1.5598843409777596,1.5598843409772571,1.2509301165231692,0.6942138408356986
0.02,0.6942136792393577,1.250929825344937,1.5598839778781937,1.5598839778771192,1.2509298253422518,0.694213679240388
0.025,0.6942134272083594,1.2509293712104175,1.55988341157441,1.5598834115724438,1.2509293712055036,0.6942134272102448
0.030000000000000002,0.6942130649544219,1.2509287184652345,1.5598825976039936,1.559882597600746,1.2509287184571192,0.6942130649575354
0.035,0.6942125728024489,1.2509278316568369,1.5598814917577715,1.5598814917527846,1.2509278316443753,0.6942125728072303
0.04,0.6942119311896889,1.2509266755351054,1.5598800500790022,1.5598800500717493,1.250926675516981,0.6942119311966429
0.045,0.6942111206653736,1.2509252150517023,1.5598782288625674,1.559878228852454,1.2509252150264287,0.6942111206750707
0.049999999999999996,0.6942101218903582,1.2509234153594224,1.5598759846541612,1.559875984640524,1.250923415325345,0.694210121903433
0.05499999999999999,0.69420891563676,1.2509212418115427,1.5598732742494779,1.5598732742315886,1.2509212417668394,0.6942089156539121
0.05999999999999999,0.6942074827875989,1.2509186599611735,1.5598700546934057,1.5598700546704685,1.2509186599038566,0.6942074828095908
0.06499999999999999,0.6942058043364362,1.2509156355606081,1.5598662832792127,1.5598662832503662,1.2509156354885254,0.6942058043640936
0.06999999999999999,0.6942038613870133,1.250912134560673,1.5598619175477395,1.5598619175120567,1.2509121344715088,0.694203861421225
0.075,0.6942016351528923,1.2509081231100785,1.5598569152865873,1.5598569152430761,1.250908123001356,0.6942016351946094
0.08,0.6941991069570953,1.2509035675547688,1.5598512345293074,1.559851234476912,1.2509035674238496,0.6941991070073298
0.085,0.6941962582317426,1.2508984344372713,1.5598448335545918,1.559844833492193,1.2508984342813585,0.6941962582915681
0.09000000000000001,0.6941930705176934,1.2508926904960491,1.5598376708854644,1.5598376708118777,1.2508926903121882,0.6941930705882443
0.09500000000000001,0.6941895254641851,1.2508863026648493,1.5598297052884673,1.5598297052024472,1.2508863024499286,0.6941895255466555
0.10000000000000002,0.6941856048284722,1.250879238072055,1.5598208957728548,1.5598208956730928,1.2508792378228084,0.6941856049241165
0.10500000000000002,0.6941812904754674,1.2508714640400358,1.5598112015897818,1.5598112014749081,1.250871463753043,0.6941812905855985
0.11000000000000003,0.6941765643773797,1.2508629480844977,1.5598005822314953,1.5598005821000778,1.2508629477561863,0.6941765645033696
0.11500000000000003,0.6941714086133556,1.2508536579138367,1.5597889974305248,1.5597889972810712,1.250853657540483,0.6941714087566344
0.12000000000000004,0.6941658053691189,1.2508435614284874,1.5597764071588742,1.559776406989832,1.2508435610062183,0.6941658055311744
0.12500000000000003,0.6941597369366104,1.2508326267202767,1.5597627716272113,1.5597627714369677,1.2508326262450704,0.6941597371189872
0.13000000000000003,0.6941531857136285,1.2508208220717745,1.5597480512840634,1.5597480510709465,1.2508208215394625,0.6941531859179282
0.13500000000000004,0.6941461342034699,1.250808115955646,1.5597322068150048,1.559732206577284,1.2508081153619148,0.6941461344313505
0.14000000000000004,0.6941385650145702,1.2507944770340056,1.5597151991418532,1.5597151988777396,1.2507944763743968,0.6941385652677448
0.14500000000000005,0.6941304608601442,1.250779874157768,1.559696989421861,1.559696989129508,1.250779873427681,0.6941304611403817
0.15000000000000005,0.6941218045578281,1.2507642763660027,1.5596775390469102,1.5596775387244126,1.2507642755606954,0.6941218048669517
0.15500000000000005,0.6941125790293198,1.2507476528852863,1.5596568096427033,1.5596568092881005,1.250747651999877,0.6941125793692069
0.16000000000000006,0.6941027673000207,1.2507299731290589,1.5596347630679612,1.5596347626792355,1.2507299721585265,0.6941027676726023
0.16500000000000006,0.6940923524986774,1.2507112066969748,1.559611361413616,1.5596113609886937,1.250711205636163,0.694092352905938
0.17000000000000007,0.694081317857024,1.2506913233742616,1.5595865670020082,1.5595865665387605,1.2506913222178768,0.6940813183010006
0.17500000000000007,0.6940696467094238,1.2506702931310723,1.5595603423860813,1.559560341882324,1.2506702918736878,0.6940696471922057
0.18000000000000008,0.6940573224925128,1.2506480861218436,1.5595326503485791,1.5595326498020738,1.2506480847578993,0.6940573230162406
0.18500000000000008,0.6940443287448408,1.2506246726846497,1.5595034539012438,1.559503453309698,1.2506246712084554,0.6940443293117067
0.19000000000000009,0.6940306491065165,1.2506000233405616,1.5594727162840132,1.5594727156450805,1.2506000217462967,0.6940306497187632
0.1950000000000001,0.6940162673188495,1.2505741087930033,1.5594404009642198,1.559440400275501,1.2505741070747192,0.6940162679787697
0.2000000000000001,0.6940011672239941,1.25054689992711,1.5594064716357892,1.5594064708948325,1.2505468980787313,0.6940011679339309
0.2050000000000001,0.6939853327645946,1.2505183678090868,1.5593708922184426,1.5593708914227442,1.250518365824413,0.6939853335269395
0.2100000000000001,0.6939687479834283,1.2504884836855676,1.5593336268568956,1.5593336260038997,1.2504884815582746,0.6939687488006218
0.2150000000000001,0.6939513970230505,1.2504572189829757,1.5592946399200602,1.5592946390071596,1.2504572167066172,0.6939513978975811
0.2200000000000001,0.69393326412544,1.2504245453068827,1.559253896000249,1.5592538950247858,1.2504245428748928,0.693933265059844
0.22500000000000012,0.6939143336316445,1.2503904344413723,1.5592113599123756,1.559211358871642,1.2503904318470647,0.6939143346285053
0.23000000000000012,0.693894589981426,1.250354858348399,1.5591669966931614,1.5591669955843994,1.250354855584971,0.6938945910433735
0.23500000000000013,0.6938740177129074,1.2503177891671529,1.5591207716003397,1.5591207704207415,1.2503177862276857,0.6938740188426177
0.24000000000000013,0.6938526014622188,1.250279199213422,1.5590726501118608,1.5590726488585707,1.2502791960908821,0.6938526026624138
0.24500000000000013,0.6938303259631451,1.250239060978955,1.5590225979251005,1.5590225965952131,1.2502390576661977,0.6938303272365915
0.2500000000000001,0.6938071760467726,1.2501973471308299,1.5589705809560666,1.5589705795466289,1.250197343620598,0.693807177396282
0.2550000000000001,0.6937831366411374,1.2501540305108139,1.5589165653386072,1.558916563846619,1.2501540267957418,0.693783138069565
0.2600000000000001,0.6937581927708737,1.2501090841347344,1.558860517423623,1.558860515846036,1.2501090802073487,0.693758194281119
0.2650000000000001,0.6937323295568623,1.2500624811918437,1.5588024037782746,1.5588024021119942,1.2500624770445647,0.6937323311518669
0.27000000000000013,0.6937055322158797,1.2500141950441872,1.5587421911851964,1.5587421894270819,1.250014190669331,0.6937055338986283
0.27500000000000013,0.6936777860602481,1.2499641992259716,1.558679846641708,1.558679844788573,1.249964194615752,0.6936777878337674
0.28000000000000014,0.6936490764974851,1.2499124674429363,1.5586153373590301,1.5586153354076422,1.2499124625894658,0.6936490783648432
